id,title,description,availability,condition,price,link,image_link,brand,google_product_category,additional_image_link,availability_circle_origin.latitude,availability_circle_origin.longitude,availability_circle_radius,availability_circle_radius_unit,availability_postal_codes
curso-pagina_134,Processos Gerenciais ,Processos Gerenciais  - Semipresencial - Grupo Integrado. Educação de qualidade e tradição.,in stock,new,0.00 BRL,https://www.grupointegrado.br/graduacao/semipresencial/processos-gerenciais,https://storage.googleapis.com/cms-site-integrado/processos_gerenciais_presencial_b0cb605ee2/processos_gerenciais_presencial_b0cb605ee2.webp,Grupo Integrado,Educação > Graduação,https://storage.googleapis.com/cms-site-integrado/large_processos_gerenciais_presencial_b0cb605ee2/large_processos_gerenciais_presencial_b0cb605ee2.webp,-24.043300,-52.378100,80,km,"87300-000,87301-000,87302-000,87303-000,87304-000,87305-000,87306-000,87307-000,87308-000,87309-000"
curso-pagina_4_img1,Biomedicina,Biomedicina - Presencial - Grupo Integrado. Educação de qualidade e tradição.,in stock,new,0.00 BRL,https://www.grupointegrado.br/graduacao/presencial/biomedicina,https://storage.googleapis.com/cms-site-integrado/integrado_Catalogo_Presencial_Biomedicina1920x1080_f6668616d4/integrado_Catalogo_Presencial_Biomedicina1920x1080_f6668616d4.png,Grupo Integrado,Educação > Medicina,https://storage.googleapis.com/cms-site-integrado/large_integrado_Catalogo_Presencial_Biomedicina1920x1080_f6668616d4/large_integrado_Catalogo_Presencial_Biomedicina1920x1080_f6668616d4.png,-24.043300,-52.378100,80,km,"87300-000,87301-000,87302-000,87303-000,87304-000,87305-000,87306-000,87307-000,87308-000,87309-000"
curso-pagina_4_img2,Biomedicina,Biomedicina - Presencial - Grupo Integrado. Educação de qualidade e tradição.,in stock,new,0.00 BRL,https://www.grupointegrado.br/graduacao/presencial/biomedicina,https://storage.googleapis.com/cms-site-integrado/integrado_Catalogo_Presencial_Biomedicina1080x1080_eb42260e40/integrado_Catalogo_Presencial_Biomedicina1080x1080_eb42260e40.png,Grupo Integrado,Educação > Medicina,https://storage.googleapis.com/cms-site-integrado/large_integrado_Catalogo_Presencial_Biomedicina1080x1080_eb42260e40/large_integrado_Catalogo_Presencial_Biomedicina1080x1080_eb42260e40.png,-24.043300,-52.378100,80,km,"87300-000,87301-000,87302-000,87303-000,87304-000,87305-000,87306-000,87307-000,87308-000,87309-000"
curso-pagina_35,Gestão do Agronegócio,Gestão do Agronegócio - EAD - Grupo Integrado. Educação de qualidade e tradição.,in stock,new,0.00 BRL,https://www.grupointegrado.br/graduacao/ead/gestao-do-agronegocio,https://storage.googleapis.com/cms-site-integrado/gestao_agronegocio_7ae4443d65/gestao_agronegocio_7ae4443d65.webp,Grupo Integrado,Educação > Agronomia,https://storage.googleapis.com/cms-site-integrado/large_gestao_agronegocio_7ae4443d65/large_gestao_agronegocio_7ae4443d65.webp,-24.043300,-52.378100,80,km,"87300-000,87301-000,87302-000,87303-000,87304-000,87305-000,87306-000,87307-000,87308-000,87309-000"
curso-pagina_36,Gestão Pública,Gestão Pública - EAD - Grupo Integrado. Educação de qualidade e tradição.,in stock,new,0.00 BRL,https://www.grupointegrado.br/graduacao/ead/gestao-publica,https://storage.googleapis.com/cms-site-integrado/gestao_publica_ecc95bd8c3/gestao_publica_ecc95bd8c3.webp,Grupo Integrado,Educação > EAD,https://storage.googleapis.com/cms-site-integrado/large_gestao_publica_ecc95bd8c3/large_gestao_publica_ecc95bd8c3.webp,-24.043300,-52.378100,80,km,"87300-000,87301-000,87302-000,87303-000,87304-000,87305-000,87306-000,87307-000,87308-000,87309-000"
curso-pagina_22,Nutrição,Nutrição - Semipresencial - Grupo Integrado. Educação de qualidade e tradição.,in stock,new,0.00 BRL,https://www.grupointegrado.br/graduacao/semipresencial/nutricao,https://storage.googleapis.com/cms-site-integrado/nutricao_semipresencial_ded9680c2d/nutricao_semipresencial_ded9680c2d.webp,Grupo Integrado,Educação > Nutrição,https://storage.googleapis.com/cms-site-integrado/large_nutricao_semipresencial_ded9680c2d/large_nutricao_semipresencial_ded9680c2d.webp,-24.043300,-52.378100,80,km,"87300-000,87301-000,87302-000,87303-000,87304-000,87305-000,87306-000,87307-000,87308-000,87309-000"
curso-pagina_39,Serviços Jurídicos,Serviços Jurídicos - EAD - Grupo Integrado. Educação de qualidade e tradição.,in stock,new,0.00 BRL,https://www.grupointegrado.br/graduacao/ead/servicos-juridicos,https://storage.googleapis.com/cms-site-integrado/servicos_juridicos_c0c3159cbc/servicos_juridicos_c0c3159cbc.webp,Grupo Integrado,Educação > EAD,https://storage.googleapis.com/cms-site-integrado/large_servicos_juridicos_c0c3159cbc/large_servicos_juridicos_c0c3159cbc.webp,-24.043300,-52.378100,80,km,"87300-000,87301-000,87302-000,87303-000,87304-000,87305-000,87306-000,87307-000,87308-000,87309-000"
curso-pagina_34,Gestão de Recursos Humanos,Gestão de Recursos Humanos - EAD - Grupo Integrado. Educação de qualidade e tradição.,in stock,new,0.00 BRL,https://www.grupointegrado.br/graduacao/ead/gestao-de-recursos-humanos,https://storage.googleapis.com/cms-site-integrado/recursos_humanos_e87d2e374d/recursos_humanos_e87d2e374d.webp,Grupo Integrado,Educação > EAD,https://storage.googleapis.com/cms-site-integrado/large_recursos_humanos_e87d2e374d/large_recursos_humanos_e87d2e374d.webp,-24.043300,-52.378100,80,km,"87300-000,87301-000,87302-000,87303-000,87304-000,87305-000,87306-000,87307-000,87308-000,87309-000"
curso-pagina_28,Design de Interiores,Design de Interiores - EAD - Grupo Integrado. Educação de qualidade e tradição.,in stock,new,0.00 BRL,https://www.grupointegrado.br/graduacao/ead/design-de-interiores,https://storage.googleapis.com/cms-site-integrado/design_interiores_ead_1bb08b5c59/design_interiores_ead_1bb08b5c59.webp,Grupo Integrado,Educação > EAD,https://storage.googleapis.com/cms-site-integrado/large_design_interiores_ead_1bb08b5c59/large_design_interiores_ead_1bb08b5c59.webp,-24.043300,-52.378100,80,km,"87300-000,87301-000,87302-000,87303-000,87304-000,87305-000,87306-000,87307-000,87308-000,87309-000"
curso-pagina_31,Gestão de Cooperativas,Gestão de Cooperativas - EAD - Grupo Integrado. Educação de qualidade e tradição.,in stock,new,0.00 BRL,https://www.grupointegrado.br/graduacao/ead/gestao-de-cooperativas,https://storage.googleapis.com/cms-site-integrado/gestao_cooperativas_7530ac1f3e/gestao_cooperativas_7530ac1f3e.webp,Grupo Integrado,Educação > EAD,https://storage.googleapis.com/cms-site-integrado/large_gestao_cooperativas_7530ac1f3e/large_gestao_cooperativas_7530ac1f3e.webp,-24.043300,-52.378100,80,km,"87300-000,87301-000,87302-000,87303-000,87304-000,87305-000,87306-000,87307-000,87308-000,87309-000"
curso-pagina_37,Marketing,Marketing - EAD - Grupo Integrado. Educação de qualidade e tradição.,in stock,new,0.00 BRL,https://www.grupointegrado.br/graduacao/ead/marketing,https://storage.googleapis.com/cms-site-integrado/marketing_c0a92dc356/marketing_c0a92dc356.webp,Grupo Integrado,Educação > EAD,https://storage.googleapis.com/cms-site-integrado/large_marketing_c0a92dc356/large_marketing_c0a92dc356.webp,-24.043300,-52.378100,80,km,"87300-000,87301-000,87302-000,87303-000,87304-000,87305-000,87306-000,87307-000,87308-000,87309-000"
curso-pagina_29,Gestão da Produção Industrial,Gestão da Produção Industrial - EAD - Grupo Integrado. Educação de qualidade e tradição.,in stock,new,0.00 BRL,https://www.grupointegrado.br/graduacao/ead/gestao-da-producao-industrial,https://storage.googleapis.com/cms-site-integrado/gestao_producao_industrial_d53ddba4ab/gestao_producao_industrial_d53ddba4ab.webp,Grupo Integrado,Educação > EAD,https://storage.googleapis.com/cms-site-integrado/large_gestao_producao_industrial_d53ddba4ab/large_gestao_producao_industrial_d53ddba4ab.webp,-24.043300,-52.378100,80,km,"87300-000,87301-000,87302-000,87303-000,87304-000,87305-000,87306-000,87307-000,87308-000,87309-000"
curso-pagina_32,Gestão em Logística,Gestão em Logística - EAD - Grupo Integrado. Educação de qualidade e tradição.,in stock,new,0.00 BRL,https://www.grupointegrado.br/graduacao/ead/gestao-em-logistica,https://storage.googleapis.com/cms-site-integrado/gestao_logistica_8296c9780f/gestao_logistica_8296c9780f.webp,Grupo Integrado,Educação > EAD,https://storage.googleapis.com/cms-site-integrado/large_gestao_logistica_8296c9780f/large_gestao_logistica_8296c9780f.webp,-24.043300,-52.378100,80,km,"87300-000,87301-000,87302-000,87303-000,87304-000,87305-000,87306-000,87307-000,87308-000,87309-000"
